dataset,regime,problem_id,route_pairs,h1_effect,h2_effect,h3_success_difference,h3_margin_gap
gsm8k,near_early,108dbd98a8139a89720bba86516be71c441f13844d2e00b278f8b22b85013635,36,,0.018518518518518528,0.0,0.5625
gsm8k,near_early,06a2b53d8ececf53f1092fc711a0bb794b12888d333bc187d54ea61ccde17db7,36,0.13333333333333336,0.25,0.0,0.25
gsm8k,near_early,04652af213b74506abd3f15174298a9bc0e0ac09aed9eed6b1f1edad55136824,36,,-0.027777777777777776,0.0,0.25
gsm8k,near_early,03ea74dbe0e889127611a6a748dd8c83f34ba9125b971f03426c1686b21d39aa,36,-0.046296296296296294,,0.0,0.0
gsm8k,near_early,07e68ddc7da04c025b9a9a78a3de743b6425b2b082b8c564b147847de6111d3d,36,,0.0,0.0,0.0
gsm8k,near_early,0db78aa60991967366234e2b072b1e2a623e706b76a8bfecce302ceade066291,36,,0.2777777777777778,0.0,0.375
gsm8k,near_early,088d10c02110355ef22f82f81ed015cac5a87de746a81df9e5d14f3254abe9dc,36,0.2222222222222222,,1.0,0.625
gsm8k,near_early,0172bc0c9804157b5970e65921f8da5f7310e035b257e86f66ddcedef2dd8ce9,36,0.0,8.881784197001253e-18,0.0,0.0
gsm8k,near_early,06d0657a08d5164257b70fa6d622d5ef73a8d9e8934a605c71d792c52d303983,36,0.0,,0.0,0.0625
gsm8k,near_early,07cde4e475a98b4bfa2c6756218ad05c143f352779dfcd4b197bc0f2691bd79f,36,,-0.018518518518518517,0.0,-0.125
gsm8k,near_early,09a1f6f4ccc6a195576515c83ba810036e3563e2b2ed1881c13c90f5ffc37f1a,36,,2.3129646346357427e-18,1.0,1.0
gsm8k,near_early,01660672c0a47f378ea0431da9c1ba1ec4bbbb577b3cb2949e53b07db074d012,36,-0.018518518518518517,,0.0,0.5
gsm8k,near_early,136aeda7ea6fcf2e6c173e2eb3a3222afd46ffb099d218c36d4643a19168183a,36,,-0.013888888888888876,0.0,0.25
gsm8k,near_early,0cc2ca2bdd6ee8d664eb1197e8020bac71c25ba0ce52d813fc4adbf08df22378,36,0.0,,0.0,0.125
gsm8k,near_early,09a8532e00e3cd9a41779c00b791730f72848bf57e0ea9e380ad034816e7ec31,36,,0.07407407407407408,0.0,0.625
gsm8k,near_early,10431490fcbd69a5cd0662519cd650bd98179937b015d81e8163833a05beba28,36,,0.0,0.0,0.1875
gsm8k,near_early,1084abb10503718ac570166b60049bc3a369725c05331856def313eabccf311f,36,,0.0,0.0,0.4375
