model_id,pack,condition,template_mode,structured,pair_id,pair_correct,pair_trace_correct,pair_schema_valid,pair_truncated,inactive_operator,inactive_operator_items,skin,difficulty
ai2_olmo,A,B,native,True,oi_conf_0019,False,False,True,False,True,2,scheduling,1
ai2_olmo,A,B,native,True,oi_conf_0020,False,False,True,False,True,2,scheduling,1
ai2_olmo,A,B,native,True,oi_conf_0021,False,False,True,False,True,2,scheduling,2
ai2_olmo,A,B,native,True,oi_conf_0022,False,False,True,False,True,2,scheduling,2
ai2_olmo,A,B,native,True,oi_conf_0023,False,False,True,False,True,2,scheduling,2
ai2_olmo,A,B,native,True,oi_conf_0024,False,False,True,False,True,2,scheduling,3
ai2_olmo,A,B,native,True,oi_conf_0025,False,False,True,False,True,2,scheduling,3
ai2_olmo,A,B,native,True,oi_conf_0026,False,False,True,False,True,2,scheduling,3
ai2_olmo,A,B,native,True,oi_conf_0027,False,False,True,False,True,2,allocation,1
ai2_olmo,A,B,native,True,oi_conf_0028,False,False,True,False,True,2,allocation,1
ai2_olmo,A,B,native,True,oi_conf_0029,False,False,True,False,True,2,allocation,1
ai2_olmo,A,B,native,True,oi_conf_0030,False,False,True,False,True,2,allocation,2
ai2_olmo,A,B,native,True,oi_conf_0031,False,False,True,False,True,2,allocation,2
ai2_olmo,A,B,native,True,oi_conf_0032,True,False,True,False,True,2,allocation,2
ai2_olmo,A,B,native,True,oi_conf_0033,False,False,True,False,True,2,allocation,3
ai2_olmo,A,B,native,True,oi_conf_0034,False,False,True,False,True,2,allocation,3
ai2_olmo,A,B,native,True,oi_conf_0035,False,False,True,False,True,2,allocation,3
ai2_olmo,A,B,native,True,oi_conf_0036,False,False,True,False,True,2,game,1
ai2_olmo,A,B,native,True,oi_conf_0037,False,False,True,False,True,2,game,1
ai2_olmo,A,B,native,True,oi_conf_0038,False,False,True,False,True,2,game,1
ai2_olmo,A,B,native,True,oi_conf_0039,False,False,True,False,True,2,game,2
ai2_olmo,A,B,native,True,oi_conf_0040,False,False,True,False,True,2,game,2
ai2_olmo,A,B,native,True,oi_conf_0041,False,False,True,False,True,2,game,2
ai2_olmo,A,B,native,True,oi_conf_0042,False,False,True,False,True,2,game,3
ai2_olmo,A,B,native,True,oi_conf_0043,False,False,True,False,True,2,game,3
ai2_olmo,A,B,native,True,oi_conf_0044,False,False,True,False,True,2,game,3
ai2_olmo,A,B,native,True,oi_conf_0045,False,False,True,False,True,2,tool,1
ai2_olmo,A,B,native,True,oi_conf_0046,False,False,True,False,True,2,tool,1
ai2_olmo,A,B,native,True,oi_conf_0047,False,False,True,False,True,2,tool,1
ai2_olmo,A,B,native,True,oi_conf_0048,True,False,True,False,True,2,tool,2
ai2_olmo,A,B,native,True,oi_conf_0049,False,False,True,False,True,2,tool,2
