model_id,prompt_mode,items,pairs,parse_rate,final_parse_rate,fallback_parse_rate,item_accuracy,self_accuracy,opponent_accuracy,pair_accuracy,pair_accuracy_ci_low,pair_accuracy_ci_high,flip_rate,same_action_rate,branching_choice_self,branching_choice_opponent,errors_reversed_flip,errors_correct_flip,errors_branching_both,errors_safe_both,errors_unparsed
qwen25_math7b,bellman,360,180,1.0,0.17777777777777778,0.8222222222222222,0.5361111111111111,0.7111111111111111,0.3611111111111111,0.2388888888888889,0.17777777777777778,0.3,0.40555555555555556,0.5944444444444444,0.7111111111111111,0.6388888888888888,30.0,43,85.0,22,
qwen25_math7b,cot,360,180,0.9972222222222222,0.027777777777777776,0.9694444444444444,0.625,0.8777777777777778,0.37222222222222223,0.3,0.23333333333333334,0.36666666666666664,0.35,0.6444444444444445,0.8777777777777778,0.6222222222222222,9.0,54,103.0,13,1.0
qwen25_math7b,direct,360,180,0.9944444444444445,0.0,0.9944444444444445,0.5,0.011111111111111112,0.9888888888888889,0.011111111111111112,0.0,0.027777777777777776,0.016666666666666666,0.9722222222222222,0.011111111111111112,0.005555555555555556,1.0,2,,175,2.0
qwen25_math7b,local_operator,360,180,1.0,0.002777777777777778,0.9972222222222222,0.5861111111111111,0.8666666666666667,0.3055555555555556,0.2388888888888889,0.17777777777777778,0.3,0.3055555555555556,0.6944444444444444,0.8666666666666667,0.6944444444444444,12.0,43,113.0,12,
qwen25_math7b,positive_operator,360,180,1.0,0.008333333333333333,0.9916666666666667,0.6166666666666667,0.8888888888888888,0.34444444444444444,0.29444444444444445,0.22777777777777777,0.3611111111111111,0.35555555555555557,0.6444444444444445,0.8888888888888888,0.6555555555555556,11.0,53,107.0,9,
qwen35_4b,bellman,360,180,1.0,1.0,0.0,0.9472222222222222,0.9944444444444445,0.9,0.8944444444444445,0.85,0.9388888888888889,0.8944444444444445,0.10555555555555556,0.9944444444444445,0.1,,161,18.0,1,
qwen35_4b,cot,360,180,1.0,1.0,0.0,0.9527777777777777,0.9944444444444445,0.9111111111111111,0.9055555555555556,0.8611111111111112,0.9444444444444444,0.9055555555555556,0.09444444444444444,0.9944444444444445,0.08888888888888889,,163,16.0,1,
qwen35_4b,direct,360,180,1.0,0.9416666666666667,0.058333333333333334,0.8305555555555556,0.8,0.8611111111111112,0.6611111111111111,0.5944444444444444,0.7277777777777777,0.6611111111111111,0.3388888888888889,0.8,0.1388888888888889,,119,25.0,36,
qwen35_4b,local_operator,360,180,1.0,1.0,0.0,0.9472222222222222,0.9944444444444445,0.9,0.8944444444444445,0.8444444444444444,0.9388888888888889,0.8944444444444445,0.10555555555555556,0.9944444444444445,0.1,,161,18.0,1,
qwen35_4b,positive_operator,360,180,1.0,1.0,0.0,0.9444444444444444,0.9888888888888889,0.9,0.8888888888888888,0.8388888888888889,0.9333333333333333,0.8888888888888888,0.1111111111111111,0.9888888888888889,0.1,,160,18.0,2,
qwen35_9b,bellman,360,180,1.0,0.9972222222222222,0.002777777777777778,0.8944444444444445,0.9888888888888889,0.8,0.7888888888888889,0.7277777777777777,0.85,0.7888888888888889,0.2111111111111111,0.9888888888888889,0.2,,142,36.0,2,
qwen35_9b,cot,360,180,1.0,0.95,0.05,0.9861111111111112,0.9944444444444445,0.9777777777777777,0.9722222222222222,0.9444444444444444,0.9944444444444445,0.9722222222222222,0.027777777777777776,0.9944444444444445,0.022222222222222223,,175,4.0,1,
qwen35_9b,direct,360,180,0.9916666666666667,0.0,0.9916666666666667,0.5416666666666666,0.09444444444444444,0.9888888888888889,0.09444444444444444,0.05555555555555555,0.1388888888888889,0.09444444444444444,0.8888888888888888,0.09444444444444444,0.0,,17,,160,3.0
qwen35_9b,local_operator,360,180,1.0,0.18333333333333332,0.8166666666666667,0.9138888888888889,0.9944444444444445,0.8333333333333334,0.8277777777777777,0.7722222222222223,0.8777777777777778,0.8277777777777777,0.17222222222222222,0.9944444444444445,0.16666666666666666,,149,30.0,1,
qwen35_9b,positive_operator,360,180,1.0,0.013888888888888888,0.9861111111111112,0.925,0.9888888888888889,0.8611111111111112,0.85,0.7944444444444444,0.9,0.85,0.15,0.9888888888888889,0.1388888888888889,,153,25.0,2,
qwen3_8b,bellman,360,180,1.0,1.0,0.0,0.8833333333333333,0.9666666666666667,0.8,0.7666666666666667,0.7055555555555556,0.8277777777777777,0.7666666666666667,0.23333333333333334,0.9666666666666667,0.2,,138,36.0,6,
qwen3_8b,cot,360,180,0.9694444444444444,0.24444444444444444,0.725,0.8055555555555556,0.9166666666666666,0.6944444444444444,0.6388888888888888,0.5666666666666667,0.7055555555555556,0.65,0.29444444444444445,0.9166666666666666,0.28888888888888886,2.0,115,48.0,5,10.0
qwen3_8b,direct,360,180,1.0,1.0,0.0,0.6916666666666667,0.9833333333333333,0.4,0.38333333333333336,0.3111111111111111,0.45555555555555555,0.38333333333333336,0.6166666666666667,0.9833333333333333,0.6,,69,108.0,3,
qwen3_8b,local_operator,360,180,1.0,0.6916666666666667,0.30833333333333335,0.8888888888888888,0.9777777777777777,0.8,0.7777777777777778,0.7166666666666667,0.8388888888888889,0.7777777777777778,0.2222222222222222,0.9777777777777777,0.2,,140,36.0,4,
qwen3_8b,positive_operator,360,180,1.0,0.6972222222222222,0.30277777777777776,0.8722222222222222,0.9388888888888889,0.8055555555555556,0.75,0.6833333333333333,0.8111111111111111,0.7555555555555555,0.24444444444444444,0.9388888888888889,0.19444444444444445,1.0,135,34.0,10,
