model_id,prompt_left,prompt_right,pairs,accuracy_left,accuracy_right,paired_difference_left_minus_right,difference_ci_low,difference_ci_high,left_only_correct,right_only_correct,same_outcome
qwen25_math7b,bellman,cot,180,0.2388888888888889,0.3,-0.06111111111111111,-0.14444444444444443,0.027777777777777776,28,39,113
qwen25_math7b,bellman,direct,180,0.2388888888888889,0.011111111111111112,0.22777777777777777,0.16666666666666666,0.29444444444444445,43,2,135
qwen25_math7b,bellman,local_operator,180,0.2388888888888889,0.2388888888888889,0.0,-0.08333333333333333,0.08888888888888889,32,32,116
qwen25_math7b,bellman,positive_operator,180,0.2388888888888889,0.29444444444444445,-0.05555555555555555,-0.1388888888888889,0.03333333333333333,28,38,114
qwen25_math7b,cot,direct,180,0.3,0.011111111111111112,0.28888888888888886,0.2222222222222222,0.35555555555555557,54,2,124
qwen25_math7b,cot,local_operator,180,0.3,0.2388888888888889,0.06111111111111111,-0.016666666666666666,0.14444444444444443,35,24,121
qwen25_math7b,cot,positive_operator,180,0.3,0.29444444444444445,0.005555555555555556,-0.07777777777777778,0.09444444444444444,31,30,119
qwen25_math7b,direct,local_operator,180,0.011111111111111112,0.2388888888888889,-0.22777777777777777,-0.29444444444444445,-0.16111111111111112,2,43,135
qwen25_math7b,direct,positive_operator,180,0.011111111111111112,0.29444444444444445,-0.2833333333333333,-0.35,-0.21666666666666667,2,53,125
qwen25_math7b,local_operator,positive_operator,180,0.2388888888888889,0.29444444444444445,-0.05555555555555555,-0.14444444444444443,0.03333333333333333,29,39,112
qwen35_4b,bellman,cot,180,0.8944444444444445,0.9055555555555556,-0.011111111111111112,-0.07222222222222222,0.05,14,16,150
qwen35_4b,bellman,direct,180,0.8944444444444445,0.6611111111111111,0.23333333333333334,0.15555555555555556,0.31666666666666665,53,11,116
qwen35_4b,bellman,local_operator,180,0.8944444444444445,0.8944444444444445,0.0,-0.06666666666666667,0.06666666666666667,18,18,144
qwen35_4b,bellman,positive_operator,180,0.8944444444444445,0.8888888888888888,0.005555555555555556,-0.05555555555555555,0.06666666666666667,17,16,147
qwen35_4b,cot,direct,180,0.9055555555555556,0.6611111111111111,0.24444444444444444,0.16666666666666666,0.32222222222222224,52,8,120
qwen35_4b,cot,local_operator,180,0.9055555555555556,0.8944444444444445,0.011111111111111112,-0.044444444444444446,0.07222222222222222,15,13,152
qwen35_4b,cot,positive_operator,180,0.9055555555555556,0.8888888888888888,0.016666666666666666,-0.03888888888888889,0.07222222222222222,15,12,153
qwen35_4b,direct,local_operator,180,0.6611111111111111,0.8944444444444445,-0.23333333333333334,-0.3111111111111111,-0.15555555555555556,10,52,118
qwen35_4b,direct,positive_operator,180,0.6611111111111111,0.8888888888888888,-0.22777777777777777,-0.3,-0.15,7,48,125
qwen35_4b,local_operator,positive_operator,180,0.8944444444444445,0.8888888888888888,0.005555555555555556,-0.044444444444444446,0.05555555555555555,10,9,161
qwen35_9b,bellman,cot,180,0.7888888888888889,0.9722222222222222,-0.18333333333333332,-0.24444444444444444,-0.12222222222222222,3,36,141
qwen35_9b,bellman,direct,180,0.7888888888888889,0.09444444444444444,0.6944444444444444,0.6222222222222222,0.7666666666666667,128,3,49
qwen35_9b,bellman,local_operator,180,0.7888888888888889,0.8277777777777777,-0.03888888888888889,-0.11666666666666667,0.03888888888888889,23,30,127
qwen35_9b,bellman,positive_operator,180,0.7888888888888889,0.85,-0.06111111111111111,-0.13333333333333333,0.011111111111111112,18,29,133
qwen35_9b,cot,direct,180,0.9722222222222222,0.09444444444444444,0.8777777777777778,0.8277777777777777,0.9222222222222223,158,0,22
qwen35_9b,cot,local_operator,180,0.9722222222222222,0.8277777777777777,0.14444444444444443,0.08888888888888889,0.2,28,2,150
qwen35_9b,cot,positive_operator,180,0.9722222222222222,0.85,0.12222222222222222,0.07222222222222222,0.17222222222222222,24,2,154
qwen35_9b,direct,local_operator,180,0.09444444444444444,0.8277777777777777,-0.7333333333333333,-0.8055555555555556,-0.6611111111111111,5,137,38
qwen35_9b,direct,positive_operator,180,0.09444444444444444,0.85,-0.7555555555555555,-0.8277777777777777,-0.6777777777777778,6,142,32
