model_id,prompt_left,prompt_right,pairs,accuracy_left,accuracy_right,paired_difference_left_minus_right,difference_ci_low,difference_ci_high,left_only_correct,right_only_correct,same_outcome
qwen35_9b,local_operator,positive_operator,180,0.8277777777777777,0.85,-0.022222222222222223,-0.06111111111111111,0.016666666666666666,5,9,166
qwen3_8b,bellman,cot,180,0.7666666666666667,0.6388888888888888,0.12777777777777777,0.05555555555555555,0.2,36,13,131
qwen3_8b,bellman,direct,180,0.7666666666666667,0.38333333333333336,0.38333333333333336,0.3,0.4666666666666667,77,8,95
qwen3_8b,bellman,local_operator,180,0.7666666666666667,0.7777777777777778,-0.011111111111111112,-0.07222222222222222,0.05,15,17,148
qwen3_8b,bellman,positive_operator,180,0.7666666666666667,0.75,0.016666666666666666,-0.05555555555555555,0.08888888888888889,24,21,135
qwen3_8b,cot,direct,180,0.6388888888888888,0.38333333333333336,0.25555555555555554,0.17222222222222222,0.3388888888888889,58,12,110
qwen3_8b,cot,local_operator,180,0.6388888888888888,0.7777777777777778,-0.1388888888888889,-0.20555555555555555,-0.07222222222222222,8,33,139
qwen3_8b,cot,positive_operator,180,0.6388888888888888,0.75,-0.1111111111111111,-0.18888888888888888,-0.03333333333333333,16,36,128
qwen3_8b,direct,local_operator,180,0.38333333333333336,0.7777777777777778,-0.39444444444444443,-0.4722222222222222,-0.32222222222222224,1,72,107
qwen3_8b,direct,positive_operator,180,0.38333333333333336,0.75,-0.36666666666666664,-0.45,-0.28888888888888886,6,72,102
qwen3_8b,local_operator,positive_operator,180,0.7777777777777778,0.75,0.027777777777777776,-0.03888888888888889,0.09444444444444444,20,15,145
